indicator_name,year,value
"Educational attainment rate, completed upper secondary education or higher, population 25+ years, both sexes (%)",2023,79.41273929
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",1998,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",1999,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2001,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2002,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2003,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2004,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2005,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2006,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2007,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2008,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2009,99.76999664
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2010,99.80999756
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2011,99.86000061
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2012,99.80999756
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2013,99.83000183
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2014,99.86000061
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2015,98.54372406
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2016,97.76163483
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2017,99.75
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2018,97.95484161
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2019,97.97492981
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2020,99.80000305
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2021,99.80999756
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2022,98.96990967
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2023,99.04693604
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",1998,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",1999,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2001,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2002,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2003,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2004,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2005,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2006,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2007,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2008,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2009,99.76999664
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2010,99.80999756
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2011,99.86000061
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2012,99.80999756
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2013,99.83000183
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2014,99.86000061
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2015,98.70907593
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2016,98.4516983
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2017,100
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2018,98.5149765
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2019,98.50471497
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2020,100
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2021,100
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2022,99.4343338
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2023,99.49549866
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",1998,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",1999,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2000,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2001,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2002,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2003,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2004,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2005,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2006,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2007,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2008,
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2009,99.76999664
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2010,99.80999756
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2011,99.86000061
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2012,99.80999756
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2013,99.83000183
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2014,99.86000061
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2015,98.95690077
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2016,98.9874014
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2017,100
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2018,98.9633945
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2019,98.93961026
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2020,100
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2021,100
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2022,100
"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)",2023,100
Expenditure on education as a percentage of total government expenditure (%),1998,11.48801818
Expenditure on education as a percentage of total government expenditure (%),1999,12.40655691
Expenditure on education as a percentage of total government expenditure (%),2000,13.25675826
Expenditure on education as a percentage of total government expenditure (%),2001,13.61395937
Expenditure on education as a percentage of total government expenditure (%),2002,14.73397243
Expenditure on education as a percentage of total government expenditure (%),2003,14.47748944
Expenditure on education as a percentage of total government expenditure (%),2004,13.88548343
Expenditure on education as a percentage of total government expenditure (%),2005,13.37721122
Expenditure on education as a percentage of total government expenditure (%),2006,13.75953286
Expenditure on education as a percentage of total government expenditure (%),2007,13.79046054
Expenditure on education as a percentage of total government expenditure (%),2008,13.03092177
Expenditure on education as a percentage of total government expenditure (%),2009,13.13495465
Expenditure on education as a percentage of total government expenditure (%),2010,13.21977794
Expenditure on education as a percentage of total government expenditure (%),2011,12.70050593
Expenditure on education as a percentage of total government expenditure (%),2012,12.24986098
Expenditure on education as a percentage of total government expenditure (%),2013,12.09499976
Expenditure on education as a percentage of total government expenditure (%),2014,12.33209227
Expenditure on education as a percentage of total government expenditure (%),2015,12.25917393
Expenditure on education as a percentage of total government expenditure (%),2016,12.21099574
Expenditure on education as a percentage of total government expenditure (%),2017,12.24641486
Expenditure on education as a percentage of total government expenditure (%),2018,12.08059027
Expenditure on education as a percentage of total government expenditure (%),2019,11.99214233
Expenditure on education as a percentage of total government expenditure (%),2020,10.44075335
Expenditure on education as a percentage of total government expenditure (%),2021,11.05457277
Expenditure on education as a percentage of total government expenditure (%),2022,10.64375006
Expenditure on education as a percentage of total government expenditure (%),2023,
Gini index,1998,36.6
Gini index,1999,36.8
Gini index,2000,38.8
Gini index,2001,37.1
Gini index,2002,35.1
Gini index,2003,34.9
Gini index,2004,34.8
Gini index,2005,35.5
Gini index,2006,35.9
Gini index,2007,34.4
Gini index,2008,35.4
Gini index,2009,35.1
Gini index,2010,33.7
Gini index,2011,33.2
Gini index,2012,33.1
Gini index,2013,32.7
Gini index,2014,33.1
Gini index,2015,33.3
Gini index,2016,33.1
Gini index,2017,32.6
Gini index,2018,33.7
Gini index,2019,32.8
Gini index,2020,32.6
Gini index,2021,32.4
Gini index,2022,
Gini index,2023,
Government expenditure on education as a percentage of GDP (%),1998,4.207079887
Government expenditure on education as a percentage of GDP (%),1999,3.98845005
Government expenditure on education as a percentage of GDP (%),2000,4.018219948
Government expenditure on education as a percentage of GDP (%),2001,4.100140095
Government expenditure on education as a percentage of GDP (%),2002,4.611929893
Government expenditure on education as a percentage of GDP (%),2003,4.801290035
Government expenditure on education as a percentage of GDP (%),2004,4.735549927
Government expenditure on education as a percentage of GDP (%),2005,4.929769993
Government expenditure on education as a percentage of GDP (%),2006,4.976490021
Government expenditure on education as a percentage of GDP (%),2007,4.924449921
Government expenditure on education as a percentage of GDP (%),2008,4.909739971
Government expenditure on education as a percentage of GDP (%),2009,5.062630177
Government expenditure on education as a percentage of GDP (%),2010,5.698679924
Government expenditure on education as a percentage of GDP (%),2011,5.572189808
Government expenditure on education as a percentage of GDP (%),2012,5.578873967
Government expenditure on education as a percentage of GDP (%),2013,5.525300026
Government expenditure on education as a percentage of GDP (%),2014,5.601349831
Government expenditure on education as a percentage of GDP (%),2015,5.55452013
Government expenditure on education as a percentage of GDP (%),2016,5.427959919
Government expenditure on education as a percentage of GDP (%),2017,5.452569962
Government expenditure on education as a percentage of GDP (%),2018,5.204370022
Government expenditure on education as a percentage of GDP (%),2019,5.261159897
Government expenditure on education as a percentage of GDP (%),2020,5.439350128
Government expenditure on education as a percentage of GDP (%),2021,5.904580116
Government expenditure on education as a percentage of GDP (%),2022,4.959175668
Government expenditure on education as a percentage of GDP (%),2023,
"Gross attendance ratio for tertiary education, both sexes (%)",1998,
"Gross attendance ratio for tertiary education, both sexes (%)",1999,
"Gross attendance ratio for tertiary education, both sexes (%)",2000,
"Gross attendance ratio for tertiary education, both sexes (%)",2001,
"Gross attendance ratio for tertiary education, both sexes (%)",2002,
"Gross attendance ratio for tertiary education, both sexes (%)",2003,
"Gross attendance ratio for tertiary education, both sexes (%)",2004,
"Gross attendance ratio for tertiary education, both sexes (%)",2005,
"Gross attendance ratio for tertiary education, both sexes (%)",2006,23.04
"Gross attendance ratio for tertiary education, both sexes (%)",2007,23.49
"Gross attendance ratio for tertiary education, both sexes (%)",2008,22.19
"Gross attendance ratio for tertiary education, both sexes (%)",2009,23.67
"Gross attendance ratio for tertiary education, both sexes (%)",2010,23.45
"Gross attendance ratio for tertiary education, both sexes (%)",2011,24.6
"Gross attendance ratio for tertiary education, both sexes (%)",2012,25.28
"Gross attendance ratio for tertiary education, both sexes (%)",2013,25.3
"Gross attendance ratio for tertiary education, both sexes (%)",2014,26.12
"Gross attendance ratio for tertiary education, both sexes (%)",2015,25.5
"Gross attendance ratio for tertiary education, both sexes (%)",2016,27.04
"Gross attendance ratio for tertiary education, both sexes (%)",2017,28.75
"Gross attendance ratio for tertiary education, both sexes (%)",2018,27.91
"Gross attendance ratio for tertiary education, both sexes (%)",2019,28.6
"Gross attendance ratio for tertiary education, both sexes (%)",2020,
"Gross attendance ratio for tertiary education, both sexes (%)",2021,
"Gross attendance ratio for tertiary education, both sexes (%)",2022,
"Gross attendance ratio for tertiary education, both sexes (%)",2023,
"Gross enrolment ratio for tertiary education, both sexes (%)",1998,56.91801834
"Gross enrolment ratio for tertiary education, both sexes (%)",1999,60.02854919
"Gross enrolment ratio for tertiary education, both sexes (%)",2000,57.36511993
"Gross enrolment ratio for tertiary education, both sexes (%)",2001,57.48730087
"Gross enrolment ratio for tertiary education, both sexes (%)",2002,61.1282196
"Gross enrolment ratio for tertiary education, both sexes (%)",2003,61.45597076
"Gross enrolment ratio for tertiary education, both sexes (%)",2004,59.45267105
"Gross enrolment ratio for tertiary education, both sexes (%)",2005,59.2745018
"Gross enrolment ratio for tertiary education, both sexes (%)",2006,59.1907196
"Gross enrolment ratio for tertiary education, both sexes (%)",2007,58.84508896
"Gross enrolment ratio for tertiary education, both sexes (%)",2008,57.43098831
"Gross enrolment ratio for tertiary education, both sexes (%)",2009,59.10113144
"Gross enrolment ratio for tertiary education, both sexes (%)",2010,59.84672928
"Gross enrolment ratio for tertiary education, both sexes (%)",2011,59.34267044
"Gross enrolment ratio for tertiary education, both sexes (%)",2012,59.14994049
"Gross enrolment ratio for tertiary education, both sexes (%)",2013,56.76288986
"Gross enrolment ratio for tertiary education, both sexes (%)",2014,56.48791122
"Gross enrolment ratio for tertiary education, both sexes (%)",2015,56.39712906
"Gross enrolment ratio for tertiary education, both sexes (%)",2016,58.01910019
"Gross enrolment ratio for tertiary education, both sexes (%)",2017,59.55479813
"Gross enrolment ratio for tertiary education, both sexes (%)",2018,61.0918808
"Gross enrolment ratio for tertiary education, both sexes (%)",2019,65.52494049
"Gross enrolment ratio for tertiary education, both sexes (%)",2020,69.53038025
"Gross enrolment ratio for tertiary education, both sexes (%)",2021,77.07688141
"Gross enrolment ratio for tertiary education, both sexes (%)",2022,80.15110016
"Gross enrolment ratio for tertiary education, both sexes (%)",2023,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",1998,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",1999,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2000,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2001,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2002,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2003,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2004,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2005,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2006,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2007,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2008,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2009,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2010,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2011,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2012,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2013,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2014,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2015,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2016,
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2017,97.81642151
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2018,97.77223206
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2019,97.98451233
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2020,97.9858017
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2021,97.68022156
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2022,99.37576294
"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)",2023,
"Gross intake ratio to the last grade of primary education, both sexes (%)",1998,
"Gross intake ratio to the last grade of primary education, both sexes (%)",1999,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2000,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2001,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2002,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2003,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2004,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2005,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2006,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2007,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2008,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2009,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2010,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2011,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2012,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2013,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2014,
"Gross intake ratio to the last grade of primary education, both sexes (%)",2015,98.85903931
"Gross intake ratio to the last grade of primary education, both sexes (%)",2016,98.50179291
"Gross intake ratio to the last grade of primary education, both sexes (%)",2017,98.43099213
"Gross intake ratio to the last grade of primary education, both sexes (%)",2018,98.47547913
"Gross intake ratio to the last grade of primary education, both sexes (%)",2019,100.144722
"Gross intake ratio to the last grade of primary education, both sexes (%)",2020,99.52609253
"Gross intake ratio to the last grade of primary education, both sexes (%)",2021,99.44734192
"Gross intake ratio to the last grade of primary education, both sexes (%)",2022,100.0874329
"Gross intake ratio to the last grade of primary education, both sexes (%)",2023,
Income share held by highest 20%,1998,43.4
Income share held by highest 20%,1999,43.5
Income share held by highest 20%,2000,45.5
Income share held by highest 20%,2001,44
Income share held by highest 20%,2002,42.4
Income share held by highest 20%,2003,42
Income share held by highest 20%,2004,42.1
Income share held by highest 20%,2005,42.5
Income share held by highest 20%,2006,43
Income share held by highest 20%,2007,41.5
Income share held by highest 20%,2008,42.4
Income share held by highest 20%,2009,42.2
Income share held by highest 20%,2010,41.2
Income share held by highest 20%,2011,40.6
Income share held by highest 20%,2012,40.6
Income share held by highest 20%,2013,40.2
Income share held by highest 20%,2014,40.5
Income share held by highest 20%,2015,40.5
Income share held by highest 20%,2016,40.3
Income share held by highest 20%,2017,39.8
Income share held by highest 20%,2018,40.8
Income share held by highest 20%,2019,39.9
Income share held by highest 20%,2020,40
Income share held by highest 20%,2021,39.7
Income share held by highest 20%,2022,
Income share held by highest 20%,2023,
Income share held by lowest 20%,1998,7
Income share held by lowest 20%,1999,6.9
Income share held by lowest 20%,2000,6.8
Income share held by lowest 20%,2001,7
Income share held by lowest 20%,2002,7.3
Income share held by lowest 20%,2003,7.4
Income share held by lowest 20%,2004,7.4
Income share held by lowest 20%,2005,7.2
Income share held by lowest 20%,2006,7.2
Income share held by lowest 20%,2007,7.3
Income share held by lowest 20%,2008,7.2
Income share held by lowest 20%,2009,7.3
Income share held by lowest 20%,2010,7.6
Income share held by lowest 20%,2011,7.7
Income share held by lowest 20%,2012,7.7
Income share held by lowest 20%,2013,7.9
Income share held by lowest 20%,2014,7.7
Income share held by lowest 20%,2015,7.6
Income share held by lowest 20%,2016,7.6
Income share held by lowest 20%,2017,7.6
Income share held by lowest 20%,2018,7.4
Income share held by lowest 20%,2019,7.5
Income share held by lowest 20%,2020,7.7
Income share held by lowest 20%,2021,7.7
Income share held by lowest 20%,2022,
Income share held by lowest 20%,2023,
Initial government expenditure on education as a percentage of GDP (%),1998,4.207079887
Initial government expenditure on education as a percentage of GDP (%),1999,3.98845005
Initial government expenditure on education as a percentage of GDP (%),2000,4.018219948
Initial government expenditure on education as a percentage of GDP (%),2001,4.100140095
Initial government expenditure on education as a percentage of GDP (%),2002,4.611929893
Initial government expenditure on education as a percentage of GDP (%),2003,4.801290035
Initial government expenditure on education as a percentage of GDP (%),2004,4.735549927
Initial government expenditure on education as a percentage of GDP (%),2005,4.929769993
Initial government expenditure on education as a percentage of GDP (%),2006,4.976490021
Initial government expenditure on education as a percentage of GDP (%),2007,4.922699928
Initial government expenditure on education as a percentage of GDP (%),2008,4.693890095
Initial government expenditure on education as a percentage of GDP (%),2009,5.062290192
Initial government expenditure on education as a percentage of GDP (%),2010,5.698180199
Initial government expenditure on education as a percentage of GDP (%),2011,5.571509838
Initial government expenditure on education as a percentage of GDP (%),2012,
Initial government expenditure on education as a percentage of GDP (%),2013,5.525300026
Initial government expenditure on education as a percentage of GDP (%),2014,5.601349831
Initial government expenditure on education as a percentage of GDP (%),2015,5.55452013
Initial government expenditure on education as a percentage of GDP (%),2016,5.427959919
Initial government expenditure on education as a percentage of GDP (%),2017,5.452569962
Initial government expenditure on education as a percentage of GDP (%),2018,5.204370022
Initial government expenditure on education as a percentage of GDP (%),2019,5.261159897
Initial government expenditure on education as a percentage of GDP (%),2020,5.439350128
Initial government expenditure on education as a percentage of GDP (%),2021,5.904580116
Initial government expenditure on education as a percentage of GDP (%),2022,
Initial government expenditure on education as a percentage of GDP (%),2023,
Initial government funding per lower secondary student as a percentage of GDP per capita,1998,
Initial government funding per lower secondary student as a percentage of GDP per capita,1999,
Initial government funding per lower secondary student as a percentage of GDP per capita,2000,
Initial government funding per lower secondary student as a percentage of GDP per capita,2001,
Initial government funding per lower secondary student as a percentage of GDP per capita,2002,
Initial government funding per lower secondary student as a percentage of GDP per capita,2003,
Initial government funding per lower secondary student as a percentage of GDP per capita,2004,
Initial government funding per lower secondary student as a percentage of GDP per capita,2005,16.20561028
Initial government funding per lower secondary student as a percentage of GDP per capita,2006,18.83447075
Initial government funding per lower secondary student as a percentage of GDP per capita,2007,22.27883911
Initial government funding per lower secondary student as a percentage of GDP per capita,2008,23.35374069
Initial government funding per lower secondary student as a percentage of GDP per capita,2009,25.17330933
Initial government funding per lower secondary student as a percentage of GDP per capita,2010,30.67275047
Initial government funding per lower secondary student as a percentage of GDP per capita,2011,39.37435913
Initial government funding per lower secondary student as a percentage of GDP per capita,2012,
Initial government funding per lower secondary student as a percentage of GDP per capita,2013,23.07110977
Initial government funding per lower secondary student as a percentage of GDP per capita,2014,26.98900032
Initial government funding per lower secondary student as a percentage of GDP per capita,2015,25.54977989
Initial government funding per lower secondary student as a percentage of GDP per capita,2016,20.85143089
Initial government funding per lower secondary student as a percentage of GDP per capita,2017,21.17102051
Initial government funding per lower secondary student as a percentage of GDP per capita,2018,22.06874084
Initial government funding per lower secondary student as a percentage of GDP per capita,2019,22.31809998
Initial government funding per lower secondary student as a percentage of GDP per capita,2020,22.87467003
Initial government funding per lower secondary student as a percentage of GDP per capita,2021,24.58210945
Initial government funding per lower secondary student as a percentage of GDP per capita,2022,
Initial government funding per lower secondary student as a percentage of GDP per capita,2023,
"Initial government funding per lower secondary student, constant PPP$",1998,
"Initial government funding per lower secondary student, constant PPP$",1999,
"Initial government funding per lower secondary student, constant PPP$",2000,
"Initial government funding per lower secondary student, constant PPP$",2001,
"Initial government funding per lower secondary student, constant PPP$",2002,
"Initial government funding per lower secondary student, constant PPP$",2003,
"Initial government funding per lower secondary student, constant PPP$",2004,
"Initial government funding per lower secondary student, constant PPP$",2005,7771.782715
"Initial government funding per lower secondary student, constant PPP$",2006,9216.401367
"Initial government funding per lower secondary student, constant PPP$",2007,11080.2627
"Initial government funding per lower secondary student, constant PPP$",2008,11826.75488
"Initial government funding per lower secondary student, constant PPP$",2009,12619.72656
"Initial government funding per lower secondary student, constant PPP$",2010,14556.52734
"Initial government funding per lower secondary student, constant PPP$",2011,18955.24609
"Initial government funding per lower secondary student, constant PPP$",2012,
"Initial government funding per lower secondary student, constant PPP$",2013,11236.64648
"Initial government funding per lower secondary student, constant PPP$",2014,13291.11328
"Initial government funding per lower secondary student, constant PPP$",2015,12889.18066
"Initial government funding per lower secondary student, constant PPP$",2016,10667.67578
"Initial government funding per lower secondary student, constant PPP$",2017,10955.90332
"Initial government funding per lower secondary student, constant PPP$",2018,11644.31348
"Initial government funding per lower secondary student, constant PPP$",2019,11869.05664
"Initial government funding per lower secondary student, constant PPP$",2020,12295.19434
"Initial government funding per lower secondary student, constant PPP$",2021,11800.86035
"Initial government funding per lower secondary student, constant PPP$",2022,
"Initial government funding per lower secondary student, constant PPP$",2023,
Initial government funding per pre-primary student as a percentage of GDP per capita,1998,17.78009987
Initial government funding per pre-primary student as a percentage of GDP per capita,1999,17.6416893
Initial government funding per pre-primary student as a percentage of GDP per capita,2000,17.95999908
Initial government funding per pre-primary student as a percentage of GDP per capita,2001,19.15179062
Initial government funding per pre-primary student as a percentage of GDP per capita,2002,19.82899094
Initial government funding per pre-primary student as a percentage of GDP per capita,2003,17.06678963
Initial government funding per pre-primary student as a percentage of GDP per capita,2004,22.75525093
Initial government funding per pre-primary student as a percentage of GDP per capita,2005,17.71166039
Initial government funding per pre-primary student as a percentage of GDP per capita,2006,17.71706009
Initial government funding per pre-primary student as a percentage of GDP per capita,2007,19.76055908
Initial government funding per pre-primary student as a percentage of GDP per capita,2008,14.41032982
Initial government funding per pre-primary student as a percentage of GDP per capita,2009,15.11186028
Initial government funding per pre-primary student as a percentage of GDP per capita,2010,15.68513012
Initial government funding per pre-primary student as a percentage of GDP per capita,2011,15.57896042
Initial government funding per pre-primary student as a percentage of GDP per capita,2012,
Initial government funding per pre-primary student as a percentage of GDP per capita,2013,16.28639984
Initial government funding per pre-primary student as a percentage of GDP per capita,2014,12.72076035
Initial government funding per pre-primary student as a percentage of GDP per capita,2015,8.063610077
Initial government funding per pre-primary student as a percentage of GDP per capita,2016,7.114610195
Initial government funding per pre-primary student as a percentage of GDP per capita,2017,8.279800415
Initial government funding per pre-primary student as a percentage of GDP per capita,2018,8.244689941
Initial government funding per pre-primary student as a percentage of GDP per capita,2019,8.394610405
Initial government funding per pre-primary student as a percentage of GDP per capita,2020,8.125189781
Initial government funding per pre-primary student as a percentage of GDP per capita,2021,9.437789917
Initial government funding per pre-primary student as a percentage of GDP per capita,2022,
Initial government funding per pre-primary student as a percentage of GDP per capita,2023,
"Initial government funding per pre-primary student, constant PPP$",1998,7150.912109
"Initial government funding per pre-primary student, constant PPP$",1999,7316.143555
"Initial government funding per pre-primary student, constant PPP$",2000,7650.969238
"Initial government funding per pre-primary student, constant PPP$",2001,8480.667969
"Initial government funding per pre-primary student, constant PPP$",2002,8972.363281
"Initial government funding per pre-primary student, constant PPP$",2003,7827.681152
"Initial government funding per pre-primary student, constant PPP$",2004,10715.08105
"Initial government funding per pre-primary student, constant PPP$",2005,8494.041016
"Initial government funding per pre-primary student, constant PPP$",2006,8669.613281
"Initial government funding per pre-primary student, constant PPP$",2007,9827.810547
"Initial government funding per pre-primary student, constant PPP$",2008,7297.649902
"Initial government funding per pre-primary student, constant PPP$",2009,7575.786133
"Initial government funding per pre-primary student, constant PPP$",2010,7443.773926
"Initial government funding per pre-primary student, constant PPP$",2011,7499.880859
"Initial government funding per pre-primary student, constant PPP$",2012,
"Initial government funding per pre-primary student, constant PPP$",2013,7932.191406
"Initial government funding per pre-primary student, constant PPP$",2014,6264.52002
"Initial government funding per pre-primary student, constant PPP$",2015,4067.874268
"Initial government funding per pre-primary student, constant PPP$",2016,3639.86499
"Initial government funding per pre-primary student, constant PPP$",2017,4284.759766
"Initial government funding per pre-primary student, constant PPP$",2018,4350.21582
"Initial government funding per pre-primary student, constant PPP$",2019,4464.364258
"Initial government funding per pre-primary student, constant PPP$",2020,4367.3125
"Initial government funding per pre-primary student, constant PPP$",2021,4530.695801
"Initial government funding per pre-primary student, constant PPP$",2022,
"Initial government funding per pre-primary student, constant PPP$",2023,
Initial government funding per primary student as a percentage of GDP per capita,1998,12.43140984
Initial government funding per primary student as a percentage of GDP per capita,1999,12.23176003
Initial government funding per primary student as a percentage of GDP per capita,2000,12.58071995
Initial government funding per primary student as a percentage of GDP per capita,2001,13.12876034
Initial government funding per primary student as a percentage of GDP per capita,2002,14.20273018
Initial government funding per primary student as a percentage of GDP per capita,2003,16.18132019
Initial government funding per primary student as a percentage of GDP per capita,2004,15.79335022
Initial government funding per primary student as a percentage of GDP per capita,2005,16.88544083
Initial government funding per primary student as a percentage of GDP per capita,2006,19.59197998
Initial government funding per primary student as a percentage of GDP per capita,2007,20.82460022
Initial government funding per primary student as a percentage of GDP per capita,2008,20.70455933
Initial government funding per primary student as a percentage of GDP per capita,2009,22.04767036
